BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
crs-Biagi_v7.1+step.txt
--------------------------------------------------
Ar*                                                             
crs-Biagi_v7.1+step.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.8000E+17
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Grid type                                  0.000    
Maximum energy                             200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                           1.000    
Mole fraction Ar*                         0.1000E-04
 
 
E/N (Td)    	Electric field / N (Td)                                         
0.4600E-02	0.4600E-02
0.4755E-02	0.4755E-02
0.4922E-02	0.4922E-02
0.5104E-02	0.5104E-02
0.5301E-02	0.5301E-02
0.5517E-02	0.5517E-02
0.5751E-02	0.5751E-02
0.6011E-02	0.6011E-02
0.6296E-02	0.6296E-02
0.6610E-02	0.6610E-02
0.6959E-02	0.6959E-02
0.7344E-02	0.7344E-02
0.7776E-02	0.7776E-02
0.8252E-02	0.8252E-02
0.8780E-02	0.8780E-02
0.9368E-02	0.9368E-02
0.1002E-01	0.1002E-01
0.1073E-01	0.1073E-01
0.1152E-01	0.1152E-01
0.1238E-01	0.1238E-01
0.1331E-01	0.1331E-01
0.1434E-01	0.1434E-01
0.1544E-01	0.1544E-01
0.1664E-01	0.1664E-01
0.1793E-01	0.1793E-01
0.1932E-01	0.1932E-01
0.2081E-01	0.2081E-01
0.2241E-01	0.2241E-01
0.2412E-01	0.2412E-01
0.2596E-01	0.2596E-01
0.2791E-01	0.2791E-01
0.3000E-01	0.3000E-01
0.3222E-01	0.3222E-01
0.3458E-01	0.3458E-01
0.3709E-01	0.3709E-01
0.3975E-01	0.3975E-01
0.4256E-01	0.4256E-01
0.4554E-01	0.4554E-01
0.4869E-01	0.4869E-01
0.5201E-01	0.5201E-01
0.5552E-01	0.5552E-01
0.5921E-01	0.5921E-01
0.6310E-01	0.6310E-01
0.6720E-01	0.6720E-01
0.7151E-01	0.7151E-01
0.7605E-01	0.7605E-01
0.8082E-01	0.8082E-01
0.8587E-01	0.8587E-01
0.9117E-01	0.9117E-01
0.9676E-01	0.9676E-01
0.1027	0.1027
0.1088	0.1088
0.1154	0.1154
0.1223	0.1223
0.1295	0.1295
0.1372	0.1372
0.1452	0.1452
0.1538	0.1538
0.1628	0.1628
0.1723	0.1723
0.1823	0.1823
0.1929	0.1929
0.2041	0.2041
0.2160	0.2160
0.2285	0.2285
0.2418	0.2418
0.2559	0.2559
0.2708	0.2708
0.2865	0.2865
0.3032	0.3032
0.3209	0.3209
0.3397	0.3397
0.3596	0.3596
0.3806	0.3806
0.4029	0.4029
0.4266	0.4266
0.4517	0.4517
0.4783	0.4783
0.5065	0.5065
0.5364	0.5364
0.5683	0.5683
0.6021	0.6021
0.6382	0.6382
0.6765	0.6765
0.7175	0.7175
0.7612	0.7612
0.8080	0.8080
0.8578	0.8578
0.9115	0.9115
0.9689	0.9689
1.031	1.031
1.097	1.097
1.168	1.168
1.244	1.244
1.325	1.325
1.413	1.413
1.506	1.506
1.607	1.607
1.714	1.714
1.828	1.828
1.950	1.950
2.080	2.080
2.218	2.218
2.365	2.365
2.523	2.523
2.689	2.689
2.864	2.864
3.050	3.050
3.247	3.247
3.458	3.458
3.687	3.687
3.938	3.938
4.220	4.220
4.551	4.551
4.956	4.956
5.481	5.481
6.228	6.228
7.434	7.434
9.597	9.597
13.35	13.35
18.79	18.79
25.74	25.74
34.17	34.17
44.19	44.19
55.90	55.90
69.40	69.40
84.77	84.77
101.9	101.9
120.8	120.8
141.3	141.3
163.4	163.4
187.0	187.0
211.8	211.8
237.8	237.8
264.9	264.9
292.9	292.9
321.7	321.7
351.4	351.4
381.9	381.9
412.9	412.9
444.7	444.7
477.0	477.0
509.9	509.9
543.4	543.4
577.4	577.4
611.9	611.9
646.9	646.9
682.4	682.4
718.5	718.5
755.0	755.0
792.0	792.0
829.6	829.6
867.7	867.7
906.3	906.3
945.4	945.4
985.1	985.1
1025.	1025.
1066.	1066.
1108.	1108.
1150.	1150.
1192.	1192.
1235.	1235.
1279.	1279.
1324.	1324.
1369.	1369.
1415.	1415.
1462.	1462.
1510.	1510.
1558.	1558.
1607.	1607.
1657.	1657.
1708.	1708.
1760.	1760.
1812.	1812.
1866.	1866.
1920.	1920.
1976.	1976.
2032.	2032.
2090.	2090.
2148.	2148.
2207.	2207.
2268.	2268.
2329.	2329.
2392.	2392.
2456.	2456.
2521.	2521.
2586.	2586.
2654.	2654.
2722.	2722.
2792.	2792.
2862.	2862.
2934.	2934.
3007.	3007.
3082.	3082.
3157.	3157.
3234.	3234.
3312.	3312.
3392.	3392.
3472.	3472.
3555.	3555.
 
 
E/N (Td)	Mean energy (eV)
0.4600E-02	0.2000
0.4755E-02	0.2056
0.4922E-02	0.2114
0.5104E-02	0.2174
0.5301E-02	0.2235
0.5517E-02	0.2298
0.5751E-02	0.2362
0.6011E-02	0.2429
0.6296E-02	0.2497
0.6610E-02	0.2567
0.6959E-02	0.2639
0.7344E-02	0.2714
0.7776E-02	0.2790
0.8252E-02	0.2868
0.8780E-02	0.2949
0.9368E-02	0.3032
0.1002E-01	0.3117
0.1073E-01	0.3205
0.1152E-01	0.3295
0.1238E-01	0.3388
0.1331E-01	0.3483
0.1434E-01	0.3581
0.1544E-01	0.3682
0.1664E-01	0.3786
0.1793E-01	0.3892
0.1932E-01	0.4002
0.2081E-01	0.4115
0.2241E-01	0.4230
0.2412E-01	0.4349
0.2596E-01	0.4472
0.2791E-01	0.4597
0.3000E-01	0.4727
0.3222E-01	0.4860
0.3458E-01	0.4997
0.3709E-01	0.5137
0.3975E-01	0.5282
0.4256E-01	0.5430
0.4554E-01	0.5583
0.4869E-01	0.5740
0.5201E-01	0.5902
0.5552E-01	0.6068
0.5921E-01	0.6238
0.6310E-01	0.6414
0.6720E-01	0.6594
0.7151E-01	0.6780
0.7605E-01	0.6971
0.8082E-01	0.7167
0.8587E-01	0.7368
0.9117E-01	0.7576
0.9676E-01	0.7789
0.1027	0.8008
0.1088	0.8233
0.1154	0.8465
0.1223	0.8703
0.1295	0.8948
0.1372	0.9200
0.1452	0.9459
0.1538	0.9725
0.1628	0.9998
0.1723	1.028
0.1823	1.057
0.1929	1.087
0.2041	1.117
0.2160	1.149
0.2285	1.181
0.2418	1.214
0.2559	1.248
0.2708	1.283
0.2865	1.320
0.3032	1.357
0.3209	1.395
0.3397	1.434
0.3596	1.474
0.3806	1.516
0.4029	1.559
0.4266	1.602
0.4517	1.647
0.4783	1.694
0.5065	1.741
0.5364	1.790
0.5683	1.841
0.6021	1.893
0.6382	1.946
0.6765	2.001
0.7175	2.057
0.7612	2.115
0.8080	2.174
0.8578	2.235
0.9115	2.298
0.9689	2.363
1.031	2.429
1.097	2.498
1.168	2.568
1.244	2.640
1.325	2.715
1.413	2.791
1.506	2.870
1.607	2.950
1.714	3.033
1.828	3.119
1.950	3.206
2.080	3.297
2.218	3.389
2.365	3.485
2.523	3.583
2.689	3.684
2.864	3.787
3.050	3.894
3.247	4.003
3.458	4.116
3.687	4.232
3.938	4.351
4.220	4.473
4.551	4.599
4.956	4.728
5.481	4.861
6.228	4.998
7.434	5.139
9.597	5.284
13.35	5.432
18.79	5.585
25.74	5.742
34.17	5.904
44.19	6.070
55.90	6.241
69.40	6.416
84.77	6.597
101.9	6.782
120.8	6.973
141.3	7.169
163.4	7.371
187.0	7.578
211.8	7.791
237.8	8.011
264.9	8.236
292.9	8.468
321.7	8.706
351.4	8.951
381.9	9.204
412.9	9.462
444.7	9.728
