BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
glow-discharge/nominal-crs/crs.nominal.Biagi.txt
--------------------------------------------------
Ar*                                                             
glow-discharge/nominal-crs/crs.nominal.Biagi.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                         0.6214E-06
Plasma density (1/m3)                     0.5000E+16
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               2.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Grid type                                  0.000    
Maximum energy                             200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                   0.1000E+05
Mole fraction Ar                          0.9999    
Mole fraction Ar*                         0.6214E-04
 
 
E/N (Td)    	Electric field / N (Td)                                         
0.7894E-02	0.7894E-02
0.8245E-02	0.8245E-02
0.8622E-02	0.8622E-02
0.9022E-02	0.9022E-02
0.9448E-02	0.9448E-02
0.9896E-02	0.9896E-02
0.1038E-01	0.1038E-01
0.1090E-01	0.1090E-01
0.1144E-01	0.1144E-01
0.1200E-01	0.1200E-01
0.1263E-01	0.1263E-01
0.1328E-01	0.1328E-01
0.1397E-01	0.1397E-01
0.1468E-01	0.1468E-01
0.1545E-01	0.1545E-01
0.1628E-01	0.1628E-01
0.1714E-01	0.1714E-01
0.1803E-01	0.1803E-01
0.1902E-01	0.1902E-01
0.2000E-01	0.2000E-01
0.2109E-01	0.2109E-01
0.2224E-01	0.2224E-01
0.2341E-01	0.2341E-01
0.2466E-01	0.2466E-01
0.2598E-01	0.2598E-01
0.2740E-01	0.2740E-01
0.2888E-01	0.2888E-01
0.3045E-01	0.3045E-01
0.3210E-01	0.3210E-01
0.3380E-01	0.3380E-01
0.3562E-01	0.3562E-01
0.3756E-01	0.3756E-01
0.3959E-01	0.3959E-01
0.4172E-01	0.4172E-01
0.4398E-01	0.4398E-01
0.4635E-01	0.4635E-01
0.4884E-01	0.4884E-01
0.5146E-01	0.5146E-01
0.5425E-01	0.5425E-01
0.5718E-01	0.5718E-01
0.6029E-01	0.6029E-01
0.6355E-01	0.6355E-01
0.6696E-01	0.6696E-01
0.7062E-01	0.7062E-01
0.7443E-01	0.7443E-01
0.7847E-01	0.7847E-01
0.8275E-01	0.8275E-01
0.8726E-01	0.8726E-01
0.9207E-01	0.9207E-01
0.9712E-01	0.9712E-01
0.1024	0.1024
0.1081	0.1081
0.1142	0.1142
0.1206	0.1206
0.1273	0.1273
0.1346	0.1346
0.1423	0.1423
0.1505	0.1505
0.1592	0.1592
0.1685	0.1685
0.1785	0.1785
0.1892	0.1892
0.2006	0.2006
0.2129	0.2129
0.2261	0.2261
0.2403	0.2403
0.2555	0.2555
0.2720	0.2720
0.2897	0.2897
0.3088	0.3088
0.3294	0.3294
0.3517	0.3517
0.3757	0.3757
0.4017	0.4017
0.4298	0.4298
0.4602	0.4602
0.4930	0.4930
0.5285	0.5285
0.5668	0.5668
0.6081	0.6081
0.6528	0.6528
0.7010	0.7010
0.7530	0.7530
0.8092	0.8092
0.8699	0.8699
0.9353	0.9353
1.006	1.006
1.082	1.082
1.165	1.165
1.254	1.254
1.350	1.350
1.453	1.453
1.565	1.565
1.685	1.685
1.815	1.815
1.954	1.954
2.104	2.104
2.266	2.266
2.439	2.439
2.625	2.625
2.826	2.826
3.041	3.041
3.273	3.273
3.523	3.523
3.794	3.794
4.090	4.090
4.414	4.414
4.771	4.771
5.169	5.169
5.618	5.618
6.130	6.130
6.723	6.723
7.426	7.426
8.278	8.278
9.343	9.343
10.72	10.72
12.56	12.56
15.10	15.10
18.64	18.64
23.46	23.46
29.76	29.76
37.64	37.64
47.22	47.22
58.62	58.62
71.96	71.96
87.30	87.30
104.7	104.7
124.0	124.0
145.3	145.3
168.3	168.3
193.0	193.0
219.3	219.3
247.1	247.1
276.2	276.2
306.6	306.6
338.2	338.2
371.0	371.0
404.9	404.9
439.8	439.8
475.9	475.9
513.1	513.1
551.2	551.2
590.5	590.5
630.6	630.6
671.8	671.8
713.9	713.9
757.1	757.1
801.2	801.2
846.4	846.4
892.6	892.6
939.8	939.8
987.9	987.9
1037.	1037.
1087.	1087.
1139.	1139.
1191.	1191.
1245.	1245.
1299.	1299.
1355.	1355.
1412.	1412.
1470.	1470.
1529.	1529.
1589.	1589.
1651.	1651.
1714.	1714.
1777.	1777.
1843.	1843.
1909.	1909.
1977.	1977.
2045.	2045.
2116.	2116.
2187.	2187.
2260.	2260.
2334.	2334.
2410.	2410.
2487.	2487.
2565.	2565.
2645.	2645.
2726.	2726.
2808.	2808.
2892.	2892.
2978.	2978.
3065.	3065.
3153.	3153.
3243.	3243.
3335.	3335.
3427.	3427.
3522.	3522.
3618.	3618.
3715.	3715.
3814.	3814.
3915.	3915.
4017.	4017.
4120.	4120.
4226.	4226.
4332.	4332.
4441.	4441.
4551.	4551.
4662.	4662.
4775.	4775.
 
 
E/N (Td)	Mean energy (eV)
0.7894E-02	0.2000
0.8245E-02	0.2056
0.8622E-02	0.2114
0.9022E-02	0.2174
0.9448E-02	0.2235
0.9896E-02	0.2298
0.1038E-01	0.2362
0.1090E-01	0.2429
0.1144E-01	0.2497
0.1200E-01	0.2567
0.1263E-01	0.2639
0.1328E-01	0.2714
0.1397E-01	0.2790
0.1468E-01	0.2869
0.1545E-01	0.2949
0.1628E-01	0.3032
0.1714E-01	0.3118
0.1803E-01	0.3205
0.1902E-01	0.3296
0.2000E-01	0.3388
0.2109E-01	0.3483
0.2224E-01	0.3582
0.2341E-01	0.3682
0.2466E-01	0.3786
0.2598E-01	0.3892
0.2740E-01	0.4002
0.2888E-01	0.4115
0.3045E-01	0.4230
0.3210E-01	0.4349
0.3380E-01	0.4472
0.3562E-01	0.4597
0.3756E-01	0.4727
0.3959E-01	0.4860
0.4172E-01	0.4997
0.4398E-01	0.5137
0.4635E-01	0.5282
0.4884E-01	0.5430
0.5146E-01	0.5583
0.5425E-01	0.5740
0.5718E-01	0.5902
0.6029E-01	0.6068
0.6355E-01	0.6238
0.6696E-01	0.6414
0.7062E-01	0.6594
0.7443E-01	0.6780
0.7847E-01	0.6971
0.8275E-01	0.7167
0.8726E-01	0.7368
0.9207E-01	0.7576
0.9712E-01	0.7789
0.1024	0.8008
0.1081	0.8233
0.1142	0.8465
0.1206	0.8703
0.1273	0.8948
0.1346	0.9200
0.1423	0.9458
0.1505	0.9725
0.1592	0.9998
0.1685	1.028
0.1785	1.057
0.1892	1.087
0.2006	1.117
0.2129	1.149
0.2261	1.181
0.2403	1.214
0.2555	1.248
0.2720	1.283
0.2897	1.320
0.3088	1.357
0.3294	1.395
0.3517	1.434
0.3757	1.474
0.4017	1.516
0.4298	1.559
0.4602	1.602
0.4930	1.647
0.5285	1.694
0.5668	1.741
0.6081	1.790
0.6528	1.841
0.7010	1.893
0.7530	1.946
0.8092	2.001
0.8699	2.057
0.9353	2.115
1.006	2.174
1.082	2.235
1.165	2.298
1.254	2.363
1.350	2.429
1.453	2.498
1.565	2.568
1.685	2.640
1.815	2.715
1.954	2.791
2.104	2.870
2.266	2.950
2.439	3.033
2.625	3.119
2.826	3.206
3.041	3.297
3.273	3.389
3.523	3.485
3.794	3.583
4.090	3.683
4.414	3.787
4.771	3.894
5.169	4.003
5.618	4.116
6.130	4.232
6.723	4.351
7.426	4.473
8.278	4.599
9.343	4.728
10.72	4.861
12.56	4.998
15.10	5.139
18.64	5.283
23.46	5.432
29.76	5.585
37.64	5.742
47.22	5.904
58.62	6.070
71.96	6.241
87.30	6.416
104.7	6.597
124.0	6.782
145.3	6.973
168.3	7.169
193.0	7.371
219.3	7.578
247.1	7.791
276.2	8.011
306.6	8.236
338.2	8.468
371.0	8.706
404.9	8.951
439.8	9.202
