Reference
Tsurubuchi, S., Miyazaki, T., & Motohashi, K. (1996). Electron-impact emission cross sections of Ar. Journal of Physics B: Atomic, Molecular and Optical Physics, 29(9), 1785–1801. https://doi.org/10.1088/0953-4075/29/9/022

Variables (Var,Unit,Rms,Max)
*********************************
E         eV          n/a     n/a
crs       cm2         13%     n/a
*********************************

Data
############################
Excitation, level 2
############################
E    crs
=============================
14.970139585781954 2.37839099460886e-18
18.0597870933481 5.507723233209303e-19
19.999999999999993 1.5319893825593116e-18
20.943260351230833 2.6637122251426155e-18
22.003318237811257 3.619325812725777e-18
22.965340208598107 4.868851429070509e-18
23.89065155926547 5.118399643371115e-18
26.111209754423378 7.763033188141121e-18
26.98503086754328 6.527970552981175e-18
27.888094721421474 6.593556328484873e-18
28.916409279310745 7.166369071318188e-18
29.98264076341996 6.659801036793778e-18
31.088187280274912 6.816971851606621e-18
32.9858793163751 6.771691190038122e-18
35.11481012952238 7.001142620232992e-18
32.12856475300108 8.270424948157384e-18
34.08976374197474 7.972763229610344e-18
39.14415109825918 7.558820266524564e-18
44.06890012929975 7.047957568033024e-18
43.20705404484665 6.209698532816986e-18
47.37871176265419 6.1070943087111675e-18
54.22462324473069 7.001142620232992e-18
58.297184354789934 6.251221285378493e-18
64.13657498633975 5.6754030673263616e-18
68.05161404850931 5.906943904772946e-18
74.13236185958343 5.790016196494888e-18
77.884623614543 5.309494197439649e-18
79.70010130783331 5.08440148010025e-18
81.82680874337812 5.327216272913295e-18
87.68333463310276 5.256680923824758e-18
97.10339793030981 5.221764248933517e-18
100.02320365323735 5.050629144272791e-18
109.32003442518848 4.868851429070509e-18
119.48097531604716 4.852654198082406e-18
139.01447282924082 4.950652150970892e-18
148.9640464674374 4.405662071967994e-18
197.70899189904065 3.817530611684625e-18
297.36914206959653 3.0740856104804638e-18
395.97744869639484 2.4103047899304544e-18
593.6224797339785 1.7977127540180295e-18
695.2336463273297 1.827915811800853e-18
798.3138606185662 1.3011999361250235e-18
895.7965995583436 1.2543683148252544e-18
992.0345073041198 1.4284499144361354e-18
=============================

Data
############################
Excitation, level 4
############################
E    crs
=============================
15.071227991895011 2.382579981152515e-18
18.14082836223359 6.820415623816733e-19
19.109793071448056 1.251697037164095e-18
20.065150661969454 3.909519060160143e-18
22.121537408668733 3.1683259874536094e-18
24.07345754704174 3.882929885914702e-18
24.950266764992584 4.7903855947279664e-18
26.112545197855432 5.3908951795463595e-18
26.975748160536433 6.0469146581264016e-18
27.867486041936974 9.542464064419006e-18
28.97656791346106 6.268595229653715e-18
29.934446936042168 9.892291870362392e-18
30.923990585871096 1.2487873089770207e-17
31.946245601205085 1.0322582691384343e-17
33.00229332235022 1.2568957019895971e-17
33.982551549060524 1.3598578798169127e-17
34.991926121766774 1.6887272316780127e-17
36.98104236353336 1.5152462763562574e-17
37.95583790276677 1.671985937385037e-17
39.85336749450192 1.4806700744100133e-17
41.84576045246641 1.5552880983938584e-17
43.6528945679497 1.950497192942913e-17
44.94950473385508 1.7330400756515607e-17
45.686412620732675 2.0022637071401738e-17
47.0434238254669 1.6659970055814767e-17
49.71760752355539 1.9121047989074507e-17
51.36112353421479 2.1660136717600347e-17
54.104499698550626 2.001781063012732e-17
55.53065811886084 1.9691231826504566e-17
57.366336266840186 2.158575382182611e-17
59.4557466616929 2.2823321956332055e-17
63.24555320336759 2.0885825684998812e-17
65.33626280244671 2.0680210943234963e-17
67.71595576427822 1.936522206519038e-17
69.50090306146515 2.2299934848130738e-17
71.56526965939663 2.150823579392761e-17
73.45168229596435 2.040705868787871e-17
75.38781950776716 2.000834675889815e-17
77.87991626264451 2.1861503323769735e-17
81.77337386694776 1.9233338202310492e-17
84.47655802825909 2.1083805587428044e-17
86.70330358957239 2.0469311951205144e-17
87.83859143654362 2.1643573916175278e-17
89.56945654270905 2.0003431023752384e-17
93.13417925735546 2.1712920910854772e-17
97.15623431941343 1.885362460000946e-17
99.07070417918331 1.7888523952496835e-17
108.86936802098987 1.782750636841106e-17
118.86152421140146 1.9160092694990375e-17
128.51079202099342 1.78818905138866e-17
138.9433946387074 1.7302543165969396e-17
148.76436822110662 1.6578145286428228e-17
197.41505907960396 1.4437402636473247e-17
295.4755305197017 1.0323731317085015e-17
397.23965362530794 1.138725306914356e-17
598.4373570293959 7.802447454305474e-18
701.8232247128108 7.022886634203537e-18
796.7324054153487 5.881109007741986e-18
901.5395794955767 5.224733167071323e-18
1003.6793002628498 4.7808896496947225e-18
=============================
