Reference
Wetzel, R. C., Baiocchi, F. A., Hayes, T. R., & Freund, R. S. (1987). Absolute cross sections for electron-impact ionization of the rare-gas atoms by the fast-neutral-beam method. Physical Review A, 35(2), 559–577. https://doi.org/10.1103/PhysRevA.35.559

Variables (Var,Unit,Rms,Max)
*********************************
E         eV          n/a     n/a
crs       cm2         17%     n/a
*********************************

Data
############################
Ionization, 1+
############################
E    crs
=============================
16	3.00000000000000e-18
17	1.50000000000000e-17
18	2.90000000000000e-17
19	4.40000000000000e-17
20	5.80000000000000e-17
21	7.10000000000000e-17
22	8.50000000000000e-17
23	9.60000000000000e-17
24	1.10000000000000e-16
25	1.25000000000000e-16
26	1.34000000000000e-16
27	1.44000000000000e-16
28	1.57000000000000e-16
29	1.68000000000000e-16
30	1.74000000000000e-16
31	1.86000000000000e-16
32	1.92000000000000e-16
33	2.02000000000000e-16
34	2.07000000000000e-16
35	2.20000000000000e-16
36	2.24000000000000e-16
37	2.31000000000000e-16
38	2.39000000000000e-16
39	2.42000000000000e-16
40	2.47000000000000e-16
45	2.56000000000000e-16
50	2.62000000000000e-16
55	2.62000000000000e-16
60	2.63000000000000e-16
65	2.63000000000000e-16
70	2.65000000000000e-16
75	2.66000000000000e-16
80	2.68000000000000e-16
85	2.70000000000000e-16
90	2.68000000000000e-16
95	2.67000000000000e-16
100	2.68000000000000e-16
105	2.67000000000000e-16
110	2.64000000000000e-16
115	2.63000000000000e-16
120	2.64000000000000e-16
125	2.61000000000000e-16
130	2.59000000000000e-16
135	2.57000000000000e-16
140	2.56000000000000e-16
145	2.54000000000000e-16
150	2.54000000000000e-16
155	2.53000000000000e-16
160	2.50000000000000e-16
165	2.48000000000000e-16
170	2.47000000000000e-16
175	2.44000000000000e-16
180	2.45000000000000e-16
185	2.42000000000000e-16
190	2.40000000000000e-16
195	2.39000000000000e-16
200	2.32000000000000e-16
=============================

Data
############################
Ionization, 2+
############################
E    crs
=============================
40	1.00000000000000e-19
45	3.00000000000000e-19
50	1.80000000000000e-18
55	4.00000000000000e-18
60	7.70000000000000e-18
65	1.08000000000000e-17
70	1.30000000000000e-17
75	1.47000000000000e-17
80	1.58000000000000e-17
85	1.64000000000000e-17
90	1.70000000000000e-17
95	1.71000000000000e-17
100	1.77000000000000e-17
105	1.76000000000000e-17
110	1.79000000000000e-17
115	1.80000000000000e-17
120	1.80000000000000e-17
125	1.77000000000000e-17
130	1.78000000000000e-17
135	1.75000000000000e-17
140	1.77000000000000e-17
145	1.78000000000000e-17
150	1.71000000000000e-17
155	1.71000000000000e-17
160	1.71000000000000e-17
165	1.69000000000000e-17
170	1.68000000000000e-17
175	1.63000000000000e-17
180	1.60000000000000e-17
185	1.58000000000000e-17
190	1.60000000000000e-17
195	1.57000000000000e-17
200	1.53000000000000e-17
=============================

Data
############################
Ionization, total
############################
E    crs
=============================
16	3.00000000000000e-18
17	1.50000000000000e-17
18	2.90000000000000e-17
19	4.40000000000000e-17
20	5.80000000000000e-17
21	7.10000000000000e-17
22	8.50000000000000e-17
23	9.60000000000000e-17
24	1.10000000000000e-16
25	1.25000000000000e-16
26	1.34000000000000e-16
27	1.44000000000000e-16
28	1.57000000000000e-16
29	1.68000000000000e-16
30	1.74000000000000e-16
31	1.86000000000000e-16
32	1.92000000000000e-16
33	2.02000000000000e-16
34	2.07000000000000e-16
35	2.20000000000000e-16
36	2.24000000000000e-16
37	2.31000000000000e-16
38	2.39000000000000e-16
39	2.42000000000000e-16
40	2.47100000000000e-16
45	2.56300000000000e-16
50	2.63800000000000e-16
55	2.66000000000000e-16
60	2.70700000000000e-16
65	2.73800000000000e-16
70	2.78000000000000e-16
75	2.80700000000000e-16
80	2.83800000000000e-16
85	2.86400000000000e-16
90	2.85000000000000e-16
95	2.84100000000000e-16
100	2.85700000000000e-16
105	2.84600000000000e-16
110	2.81900000000000e-16
115	2.81000000000000e-16
120	2.82000000000000e-16
125	2.78700000000000e-16
130	2.76800000000000e-16
135	2.74500000000000e-16
140	2.73700000000000e-16
145	2.71800000000000e-16
150	2.71100000000000e-16
155	2.70100000000000e-16
160	2.67100000000000e-16
165	2.64900000000000e-16
170	2.63800000000000e-16
175	2.60300000000000e-16
180	2.61000000000000e-16
185	2.57800000000000e-16
190	2.56000000000000e-16
195	2.54700000000000e-16
200	2.47300000000000e-16
=============================
