Reference
Buckman, S. J., Hammond, P., King, G. C., & Read, F. H. (1983). High-resolution electron impact excitation functions of metastable states of neon, argon, krypton and xenon. Journal of Physics B: Atomic and Molecular Physics, 16(22), 4219–4236. https://doi.org/10.1088/0022-3700/16/22/012

Variables (Var,Unit,Rms,Max)
*********************************
E       eV          n/a     n/a
crs     m2          n/a     20%
*********************************

Data
############################
Excitation, level 1 + level 3
############################
E                  crs
=============================
11.427041665244463 2.8421038343239134e-24
11.450301919017377 3.664975040882887e-24
11.47356873359899 5.136491534113594e-24
11.496822426563206 5.3107174539993296e-24
11.520084867272354 6.3498037561155475e-24
11.543406355259789 1.3226697638281877e-23
11.567609178549075 7.987112163554145e-23
11.559210249946698 4.3144495589204545e-23
11.565203548692907 6.097174367877484e-23
11.577244819591145 1.0203161724685069e-22
11.583226746268942 1.1873454683952197e-22
11.591152421870524 1.3603937960178158e-22
11.597168027366308 1.560720216660375e-22
11.601209266831047 1.724757492229014e-22
11.607258332451194 1.9581648224918558e-22
11.615262519063535 2.208834369419571e-22
11.621276593703955 2.4076472843932274e-22
11.623395734913617 2.587070822726166e-22
11.639851805227117 2.7100185032219235e-22
11.659003118237912 2.4872759237084513e-22
11.679530451526434 2.530272589660293e-22
11.696792595293427 2.3554720887279105e-22
11.716073718590618 2.261068612363172e-22
11.733632082870354 2.3791314583633276e-22
11.741544964894974 2.5395312028958145e-22
11.747489057575942 2.669155287291096e-22
11.753507506088829 2.872292504175901e-22
11.765386943705835 3.1228920691441595e-22
11.783039892977644 3.3344679439729022e-22
11.806400745817271 3.442155599994911e-22
11.81883420727994 3.601933161169142e-22
11.824211154497847 3.8094063436250013e-22
11.830299584970186 4.081732391088181e-22
11.834345417001014 4.250310183663529e-22
11.84643698743261 4.710638391322491e-22
11.846174555084664 4.451180276653576e-22
11.846935921313168 4.930246153955862e-22
11.859744494409686 4.45742179266222e-22
11.861393444329277 4.171982875546685e-22
11.862994281651746 3.838976637408518e-22
11.866589604818602 3.562151333135559e-22
11.87219253544724 3.3544798684612496e-22
11.873959579923408 3.1857971029467276e-22
11.877620511177248 2.973836327340998e-22
11.883649456984054 2.8042117212888484e-22
11.8986085382042 2.651290934183439e-22
11.921844735678555 2.6357359857377056e-22
11.94518153221962 2.719639981248391e-22
11.968555506676644 2.840300543003838e-22
11.991949163559763 2.9804204633594522e-22
12.015338446570418 3.1162160818039215e-22
12.038745225070935 3.2693089078929816e-22
12.060213065907382 3.4211394343884274e-22
12.079744156015987 3.5738698122458276e-22
12.099272621801116 3.724005608956535e-22
12.118808960556683 3.8819251491073097e-22
12.138340050665288 4.034655526964706e-22
12.155945324727222 4.1990965109619343e-22
12.171597227345945 4.348004999058752e-22
12.189190691952222 4.500770367895877e-22
12.206792685609804 4.661968125459743e-22
12.222464270654624 4.830335972156727e-22
12.23810961246465 4.972758007386824e-22
12.25378119750947 5.141125854083809e-22
12.269449502149941 5.306250474347433e-22
12.283148470712703 5.440058896734955e-22
12.296861654360978 5.587921300333713e-22
12.312526678597099 5.749802694163975e-22
12.32819826364192 5.918170540860962e-22
12.341911447290196 6.06603294445972e-22
12.35759265485444 6.243914255361231e-22
12.375226140393776 6.436246986685364e-22
12.392847816477456 6.616904102849398e-22
12.410503608766367 6.8312907739203905e-22
12.426171913406838 6.996415394184015e-22
12.441836937642961 7.158296788014276e-22
12.457515083496478 7.333151087577986e-22
12.47122936061287 7.482094566654528e-22
12.48495347894231 7.640767725031158e-22
12.500611942369733 7.796162665994697e-22
12.516260564584108 7.941827927658152e-22
12.531922308415881 8.100466095055053e-22
12.547580771843304 8.255861036018594e-22
12.563226113653329 8.398283071248689e-22
12.578868175059004 8.537461880045421e-22
12.59451351686903 8.679883915275516e-22
12.61404285742865 8.830884572368455e-22
12.635498888809439 8.971039483703797e-22
12.656959294062693 9.115518696950289e-22
12.680333268519718 9.236179258705736e-22
12.703689747486878 9.339542612816588e-22
12.727017796283013 9.414798004504976e-22
12.750299919418255 9.444648226126302e-22
12.773549238510006 9.442066183414014e-22
12.796774501303194 9.41570048019041e-22
12.81995165149926 9.34176745594417e-22
12.841147000081088 9.224193973375058e-22
12.856506290631852 9.083806663616034e-22
12.867983331982009 8.936570452758627e-22
12.877531495574765 8.798017836703243e-22
12.88702717269793 8.607573597714075e-22
12.902251529283125 8.333781573996119e-22
12.909876282459063 8.2093179301316935e-22
12.928352613222552 9.234943639734157e-22
12.937820953642808 9.017472513800311e-22
12.94928924724803 8.861587699120606e-22
12.962686418610655 8.69701928963888e-22
12.97906511303744 8.925915699432035e-22
12.98652402354905 9.276055853976074e-22
12.986366564140283 9.120380985174726e-22
12.988605986842753 9.41872282606425e-22
12.994596005184611 9.593752080526591e-22
12.998891147945988 1.00088150820374e-21
12.996710772521807 9.768851316948381e-22
13.009303151350732 1.072431209343386e-21
13.007074663329426 1.0436781007322205e-21
13.012179701475713 1.101399366684118e-21
13.009478106249361 1.0897284169879804e-21
13.013904465184712 1.1442076228725071e-21
13.013733884158547 1.1273428454190278e-21
13.020753949466092 1.2466830808728106e-21
13.018514526763623 1.2168488967838582e-21
13.018304580885266 1.196092247610345e-21
13.018120878241705 1.1779301795835209e-21
13.023124588342535 1.2894901706952088e-21
13.02781337962583 1.3699151880466273e-21
13.027432852721308 1.3322937614196348e-21
13.035213971837896 1.5268768501274028e-21
13.035365599416709 1.478011072165433e-21
13.032672751935289 1.467204982851525e-21
13.032528414143918 1.4529347865447349e-21
13.03428233700269 1.434769219419938e-21
13.032101961578508 1.4107728429110361e-21
