Reference
Schappe, R. S., Schulman, M. B., Anderson, L. W., & Lin, C. C. (1994). Measurements of cross sections for electron-impact excitation into the metastable levels of argon and number densities of metastable argon atoms. Physical Review A, 50(1), 444–461. https://doi.org/10.1103/PhysRevA.50.444

Variables (Var,Unit,Rms,Max)
*********************************
E         eV          n/a     n/a
crs       cm2         n/a     n/a
crs-max   %           n/a     n/a
*********************************

Data
############################
Excitation, level 1
############################
E    crs    crs-max
=============================
11.6 2.1124408186259e-19      30
11.762926233711262 1.015275011728127e-18    30
12.327396663365803 1.6876008043577605e-18   30
12.892798660497917 2.3950932692657254e-18   30
13.318643921255934 2.9934271677592238e-18   30
14.018013249896704 3.599078165411673e-18    30
14.916049689391158 4.363520829497447e-18    30
15.648149454562898 5.113854037900994e-18    30
16.780856452413687 5.451259887953965e-18    30
18.28396464532834 4.706388160028768e-18     30
19.224880831983434 4.112216584307396e-18    30
20.98082889696422 3.3308490251370127e-18    30
23.55557947053706 2.5046267750727546e-18    30
27.772408850396033 1.7575806818218677e-18   30
31.58769520853953 1.3296102139341633e-18    30
35.6789501733367 1.001238183808098e-18      30
39.77328834018731 7.892570311989715e-19     30
43.59544583433559 6.206719474918496e-19     30
47.555235265861754 4.885842680921946e-19    30
51.379418864216575 3.9648461818192543e-19   30
55.340882034000316 3.275805580057489e-19    30
58.4819271602385 2.425447442285867e-19      30
67.09019425910364 1.8080912882662964e-19    30
71.10594011153991 1.2696810707622872e-19    30
74.19415152809762 8.156798456912095e-20     30
77.42842400727578 7.645925647193177e-20     30
79.52344205007172 5.706415250601539e-20     30
83.2129688008223 4.0776737242932013e-20     30
86.21931276750817 2.988038207353266e-20     30
89.22580088390045 2.4425678320516487e-20    30
92.23224121659501 1.7167139979798616e-20    30
94.96551638600246 1.6140150964702758e-20    30
=============================

Data
############################
Excitation, level 3
############################
E    crs    crs-max
=============================
12.471384569856276 1.668935387268585e-19    25
13.287796689552238 3.032989023991346e-19    25
14.10377259633664 4.504641845564546e-19     25
14.919418864954928 6.057605414780401e-19    25
15.598022403353575 7.623490800108122e-19    25
16.551839111707167 8.885364206013543e-19    25
17.367815018491576 1.035701702758675e-18    25
18.18420731032792 1.1725961536348165e-18    25
19.882520507569353 1.3318326601610495e-18   25
21.885384639510832 1.1124581232332303e-18   25
22.710347523666265 1.0379446302384567e-18   25
24.359596666267734 9.056077450808226e-19    25
26.557224922273733 7.62966717837856e-19     25
29.713810259238812 6.197171735832686e-19    25
33.55505158875037 4.837622988814717e-19     25
37.39462737805418 3.888907493043878e-19     25
41.37012314502686 3.2042158103500824e-19    25
45.208308505675085 2.59847271629001e-19     25
49.31977258072444 2.165883346079036e-19     25
53.43097641511634 1.797486671375432e-19     25
57.26765237995128 1.5640612112580596e-19    25
61.3784138052255 1.304792118916973e-19      25
65.35187969506998 1.1208034611806171e-19    25
69.18827311290539 9.570729276140958e-20     25
73.16153824567124 8.226043492691243e-20     25
77.13474389485825 7.02808387040123e-20      25
80.97110757090425 5.464141615315868e-20     25
84.94411618073633 4.75221240186741e-20      25
88.78019359205908 3.894389797363002e-20     25
92.61629702744762 2.972374497351263e-20     25
96.45224431844164 2.4355153703837438e-20    25
=============================
